"date","name","precip","lon","lat"
2019-08-18,"Simigaun",11.8,86.23,27.87
2019-08-18,"Singati",53,86.16,27.74
2019-08-19,"Beding",2.2,86.38,27.9
2019-08-19,"Dongang",3,86.29,27.9
2019-08-19,"Gongar",16.4,86.22,27.84
2019-08-19,"Na",1.6,86.43,27.88
2019-08-19,"Simigaun",0.2,86.23,27.87
2019-08-19,"Singati",11,86.16,27.74
2019-08-20,"Beding",1,86.38,27.9
2019-08-20,"Dongang",12,86.29,27.9
2019-08-20,"Gongar",28.4,86.22,27.84
2019-08-20,"Na",1.2,86.43,27.88
2019-08-20,"Simigaun",39.4,86.23,27.87
2019-08-20,"Singati",2.6,86.16,27.74
2019-08-21,"Beding",13.6,86.38,27.9
2019-08-21,"Dongang",21,86.29,27.9
2019-08-21,"Gongar",57,86.22,27.84
2019-08-21,"Na",8.6,86.43,27.88
2019-08-21,"Simigaun",55,86.23,27.87
2019-08-21,"Singati",23.4,86.16,27.74
2019-08-22,"Beding",7,86.38,27.9
2019-08-22,"Dongang",7.8,86.29,27.9
2019-08-22,"Gongar",0.8,86.22,27.84
2019-08-22,"Na",6.4,86.43,27.88
2019-08-22,"Simigaun",0.6,86.23,27.87
2019-08-22,"Singati",3,86.16,27.74
2019-08-23,"Beding",10,86.38,27.9
2019-08-23,"Dongang",30.4,86.29,27.9
2019-08-23,"Gongar",54.2,86.22,27.84
2019-08-23,"Na",4.8,86.43,27.88
2019-08-23,"Simigaun",42.8,86.23,27.87
2019-08-23,"Singati",57.8,86.16,27.74
2019-08-24,"Beding",25.6,86.38,27.9
2019-08-24,"Dongang",87.2,86.29,27.9
2019-08-24,"Gongar",55.6,86.22,27.84
2019-08-24,"Na",20.2,86.43,27.88
2019-08-24,"Simigaun",38.6,86.23,27.87
2019-08-24,"Singati",39.4,86.16,27.74
2019-08-25,"Beding",8.4,86.38,27.9
2019-08-25,"Dongang",17.4,86.29,27.9
2019-08-25,"Gongar",1.8,86.22,27.84
2019-08-25,"Na",2.6,86.43,27.88
2019-08-25,"Simigaun",3.6,86.23,27.87
2019-08-25,"Singati",1,86.16,27.74
2019-08-26,"Beding",4.2,86.38,27.9
2019-08-26,"Dongang",7.6,86.29,27.9
2019-08-26,"Gongar",2,86.22,27.84
2019-08-26,"Na",4,86.43,27.88
2019-08-26,"Simigaun",2,86.23,27.87
2019-08-26,"Singati",6.8,86.16,27.74
2019-08-27,"Beding",0,86.38,27.9
2019-08-27,"Dongang",0.4,86.29,27.9
2019-08-27,"Gongar",2.4,86.22,27.84
2019-08-27,"Na",0,86.43,27.88
2019-08-27,"Simigaun",0,86.23,27.87
2019-08-27,"Singati",0.2,86.16,27.74
2019-08-28,"Beding",13.2,86.38,27.9
2019-08-28,"Dongang",29.8,86.29,27.9
2019-08-28,"Gongar",7.2,86.22,27.84
2019-08-28,"Na",3.6,86.43,27.88
2019-08-28,"Simigaun",6.4,86.23,27.87
2019-08-28,"Singati",4.6,86.16,27.74
2019-08-29,"Beding",2.6,86.38,27.9
